# Protein-1,# Protein-2
E3B1,CDC42
E3B1,EGF
E3B1,EGFR
E3B1,EPS8
E3B1,MYC
E3B1,RAC1
E3B1,SOS2
EBP1,EGFR
EBP1,HDAC2
EBP1,KPNA3
EBP1,PRKCA
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EBP1,SIN3A
EF1A,UBE3A
EGF,EGFR
EGF,GRB7
EGF,RAF1
EGFR,ABL1
EGFR,EPOR
EGFR,GRB10
EGFR,GRB2
EGFR,GRB7
EGFR,HGS
EGFR,JAK1
EGFR,MET
EGFR,PLCG1
EGFR,PRKCI
EGFR,SHC1
EGFR,STAT1
EGFR,STAT3
EGFR,STAT5A
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
ENG,CD44
ENG,SMAD2
ENG,SMAD4
ENG,TGFB1
ENG,TGFBR2
EPOR,ABL1
EPOR,GRB2
EPOR,JAK1
EPOR,RAF1
EPOR,STAT1
EPOR,STAT3
EPOR,STAT5A
EPS8,SMAD2
EPS15,GRB2
EPS15,HGS
EPS15,RPL8
EPS15R,AP2B1
EPS15R,CLTC
EPS15R,EGF
EPS15R,EGFR
EPS15R,EPS15
EPS15R,HGS
EPS15R,NUMB
ERK2,CBLB
ERK2,CDK2
ERK2,CREBBP
ERK2,CRKL
ERK2,EPOR
ERK2,GRB2
ERK2,HDAC1
ERK2,JAK1
ERK2,NRAS
ERK2,NUP214
ERK2,PRKCI
ERK2,PSMD4
ERK2,RAF1
ERK2,SMAD2
ERK2,SMAD3
ERK2,STAT1
ERK2,STAT3
ERK2,STAT5A
ERK2,SVIL
ERK2,TP53
ERT,CREBBP
ERT,EGFR
ERT,EPS15
ERT,JAK1
ERT,MYC
ERT,NFKB1
ETS1,FOS
ETS1,HDAC1
ETS1,KPNA2
ETS1,RAF1
ETS1,RBL2
ETS1,SMAD2
ETS1,SMAD3
ETS1,STAT1
ETS1,STAT3
ETS1,STAT5A
FADD,CREBBP
FADD,HSPA8
FADD,PSMD12
FADD,STAT3
FADD,STAT5A
FADD,TRADD
FADD,TRAF1
FBL,PSMD3
FKBP12,PSEN1
FKBP12,RAF1
FKBP12,SMAD2
FKBP12,STAT5A
FKBP51,EIF3S2
FKBP51,SMAD3
FLIP,APC
FLIP,CASP2
FLIP,CASP8
FLIP,CDK7
FLIP,DSP
FLIP,FADD
FLIP,NOTCH2
FLIP,NRAS
FLIP,PSEN1
FLIP,PSMD12
FLIP,SVIL
FLIP,TGFB1
FLIP,TRADD
FLIP,TRAF1
FLIP,TRAF2
FLNA,NOTCH2
FOS,CREBBP
FOS,HDAC1
FOS,HDAC2
FOS,NCOA3
FOS,PRKCA
FOS,RAF1
FOS,RELA
FOS,SMAD2
FOS,SMAD3
FOS,SMAD4
FOS,STAT1
FOS,STAT3
FOS,STAT5A
FOS,VDR
FRP2,FZD6
FZD1,WNT5A
FZD4,WNT5A
G3BP2,RELA
G3BP2,RPL8
GAB1,GRB2
GAB1,KPNA2
GAB1,RAF1
GAB1,SMAD2
GAB1,SMAD3
GAB1,STAT1
GAB1,STAT5A
GAPDH,APP
GAPDH,MYC
GAPDH,PLD2
GAS1,GLI1
GAS1,HHIP
GAS1,HIP1
GAS1,MYC
GAS1,RAB23
GAS1,STAT5A
GJA1,RAF1
GJA1,STAT5A
GP130,EGFR
GP130,JAK1
GP130,NRAS
GP130,STAT1
GP130,STAT5A
GRB2,CDC42
GRB2,GRB10
GRB2,GRB14
GRB2,GRB7
GRB2,JAK1
GRB2,MET
GRB2,PLCG1
GRB2,PRKCA
GRB2,PRKCI
GRB2,PTPN12
GRB2,RAC1
GRB2,RAF1
GRB2,RELA
GRB2,SHC1
GRB2,SOS2
GRB2,STAT1
GRB2,STAT3
GRB2,STAT5A
GRB2,TBK1
GRB7,GRB14
GRB7,SOS2
GRB7,STAT1
GRB7,STAT5A
GRB10,ABL1
GRB10,JAK1
GRB10,MET
GRB10,NRAS
GRB10,RAF1
GRB10,STAT1
GRB10,STAT3
GRB10,STAT5A
GRB14,STAT1
GRB14,STAT5A
GRIM19,STAT3
HAT1,RBBP7
HBO1,HDAC6
HBO1,SMARCA4
HDAC1,APC
HDAC1,HDAC2
HDAC1,HDAC6
HDAC1,KPNA2
HDAC1,NCOR1
HDAC1,PAPOLA
HDAC1,PML
HDAC1,RELA
HDAC1,SIN3A
HDAC1,SMAD2
HDAC1,SMAD3
HDAC1,SMAD4
HDAC1,SMARCE1
HDAC1,STAT1
HDAC1,STAT5A
HDAC1,TP53
HDAC2,CREBBP
HDAC2,MAPK14
HDAC2,MCM5
HDAC2,MCM7
HDAC2,RELA
HDAC2,SIN3A
HDAC2,SMAD2
HDAC2,STAT1
HDAC2,STAT5A
HDAC2,TP53
HES1,ID2
HES1,ID3
HES1,ID4
HES1,MYC
HES1,NCOA3
HES1,STAT1
HES1,STAT5A
HES1,TCF12
HES1,TCF4
HGS,CREBBP
HGS,JAK1
HGS,KPNB1
HGS,RAN
HGS,SMAD2
HGS,SMAD3
HGS,STK11
HGS,SVIL
HIP1,ABL1
HIP1,CLTC
HIP1,EPS15
HSP90A,ANAPC5
HSP90A,CDC23
HSP90A,CDC37
HSP90A,COPS3
HSP90A,EGFR
HSP90A,HDAC1
HSP90A,HDAC2
HSP90A,HSPA8
HSP90A,MAPK14
HSP90A,NRAS
HSP90A,RELA
HSP90A,SMAD4
HSP90A,STAT1
HSP90A,STAT5A
HSP90A,SUMO1
HSP90A,SUMO2
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,KPNA6
HSP90B,MAPK14
HSP90B,SUMO1
HSPA8,APC
HSPA8,CLTC
HSPA8,PRKCI
HSPA8,RAF1
HSPA8,RAN
HSPA8,STAT1
HSPA8,STAT5A
ID2,CREBBP
ID2,ID3
ID2,MITF
ID2,MYC
ID2,NCOA3
ID3,CREBBP
ID3,ID4
ID3,MITF
ID3,MYC
ID3,NCOA3
ID3,TCF12
ID3,TCF4
ID4,TCF12
ID4,TCF4
IDAX,SHC1
IKBA,BCAR1
IKBA,CASP3
IKBA,CREBBP
IKBA,FOS
IKBA,HDAC1
IKBA,HDAC2
IKBA,KPNA2
IKBA,NOTCH4
IKBA,PPP2CA
IKBA,REL
IKBA,RELA
IKBA,STAT1
IKBA,STAT3
IKBA,STAT5A
IKKB,KPNA2
IKKB,RELA
IKKB,SMAD2
IKKB,SMAD3
IKKB,STAT1
IKKE,CDC37
IKKE,HSPA8
IKKE,RAF1
IKKE,TBK1
IQGAP2,PSMD4
IQGAP2,RELA
ITRAF,NFKB1
ITRAF,TBK1
ITRAF,TRADD
ITRAF,TRAF1
ITRAF,TRAF2
ITRAF,TRAF6
JAK1,ABL1
JAK1,CREBBP
JAK1,MET
JAK1,NRAS
JAK1,PLCG1
JAK1,PTPN12
JAK1,SHC1
JAK1,STAT1
JAK1,STAT3
JAK1,STAT5A
KPNA2,APC
KPNA2,CREBBP
KPNA2,KPNA6
KPNA2,KPNB1
KPNA2,NCOA3
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD2
KPNA2,SMAD3
KPNA2,SMAD4
KPNA2,STAT1
KPNA2,TP53
KPNA2,VDR
KPNA3,KPNA6
KPNA3,RAN
KPNA6,AP2B1
KPNA6,KPNB1
KPNA6,RAN
KPNA6,SIN3A
KPNA6,SNIP1
KPNA6,STAT5A
KPNA6,TP53
KPNB1,ABL1
KPNB1,CREBBP
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMAD2
KPNB1,SMARCC2
KPNB1,STAT1
KPNB1,STAT5A
KPNB1,TRAF2
KRAS2,SHOC2
KRT7,KTN1
KRT8,RAF1
LIP1,FADD
LIP1,PPP2CA
MAGI3,DAAM1
MAGI3,FZD4
MAGI3,FZD6
MAP3K4,CDC42
MAP3K4,FLNA
MAP3K4,PRKCA
MAP3K4,RAC1
MAPK14,CDC25B
MAPK14,CDC42
MAPK14,KRT8
MAPK14,MEF2A
MAPK14,MITF
MAPK14,NCOA3
MAPK14,NFKB1
MAPK14,RAC1
MAPK14,RELA
MAPK14,SHC1
MAPK14,SMAD3
MAPK14,STAT1
MAPK14,STAT3
MAPK14,TP53
MAPK14,TRAF6
MCM5,MCM7
MCM5,SMAD2
MCM5,STAT1
MCM7,TRAF2
MEF2A,CREBBP
MEF2A,SMAD3
MEK1,CDC42
MEK1,HES1
MEK1,MAPK14
MEK1,RAF1
MEK1,SMAD2
MEK1,SMAD3
MEK1,WNT5A
MEK3,MAP3K4
MEK3,MAPK14
MEK3,NFKB1
MEK3,RAC1
MEK3,TP53
MEK3,TRADD
MEK3,TRAF6
MEK5,EGF
MEK5,FOS
MEK5,MEF2A
MEK5,PRKCI
MEK5,STAT3
MEKK1,CASP3
MEKK1,CDC42
MEKK1,CRKL
MEKK1,FADD
MEKK1,GRB2
MEKK1,MAPK14
MEKK1,NFKB1
MEKK1,RAC1
MEKK1,RELA
MEKK1,RHOA
MEKK1,SMAD2
MEKK1,TRADD
MEKK1,TRAF2
MEKK1,TRAF6
MEKK3,CCND1
MEKK3,GAB1
MEKK3,GRB2
MEKK3,MAPK14
MEKK3,NFKB1
MEKK3,NRAS
MEKK3,PRKCA
MEKK3,RAC1
MEKK3,RHOA
MEKK3,TRADD
MEKK3,TRAF6
MEKK3,WNK1
MET,ABL1
MET,APC
MET,PLCG1
MET,RAN
MET,SHC1
MET,SOS2
MET,STAT1
MET,STAT3
MET,STAT5A
MITF,MYC
MITF,NCOA3
MKP1,FOS
MKP1,MAPK14
MKP1,NFKB1
MKP1,RAC1
MKP1,TP53
MUPP1,NUMB
MUPP1,RNF4
MUPP1,SHC1
MUPP1,SNW1
MYC,NCOA3
NIK,CASP2
NIK,FADD
NIK,HSPA8
NIK,NFKB1
NIK,RELA
NIK,TP53
NIK,TRADD
NIK,TRAF1
NIK,TRAF2
NIK,TRAF6
NKIRAS2,CDK6
NKIRAS2,CTNNB1
NKIRAS2,NFKB1
NKIRAS2,PSMD3
NKIRAS2,REL
NKIRAS2,RELA
NKIRAS2,TRAF2
NKIRAS2,TRAF6
NOTCH2,NOTCH4
NOTCH2,PLCG1
NOTCH2,PSEN1
NOTCH2,PSEN2
NOTCH2,SMAD3
NR3C1,BAG1
NR3C1,CALR
NR3C1,FOS
NR3C1,HDAC2
NR3C1,HDAC6
NR3C1,NCOA3
NR3C1,NCOR1
NR3C1,NFKB1
NR3C1,RELA
NR3C1,SMAD4
NR3C1,SMARCA4
NR3C1,STAT3
NR3C1,STAT5A
NR3C1,TP53
NRAS,NRAS
NRAS,PIK3CB
NRAS,PRKCA
NRAS,PRKCI
NRAS,PSMC1
NRAS,RAF1
NRAS,RBL2
NRAS,SHOC2
NUP214,G3BP2
PAF53,POLR1B
PAPOLA,CREBBP
PAPOLA,CUL1
PAPOLA,KPNB1
PARD3,PRKCI
PARD3,RAF1
PATZ,MITF
PATZ,NCOR1
PATZ,RNF4
PEN2,APH1A
PEN2,APP
PEN2,CTNNB1
PEN2,NOTCH2
PEN2,PLD1
PEN2,PSEN1
PEN2,PSEN2
PEN2,TRAF6
PIAS3,SMAD2
PIK3CB,STAT1
PIK3CB,STAT3
PIK3CB,STAT5A
PLCG1,PLD2
PLD1,PLD2
PLD2,RAC1
PLD2,SMAD3
PLEC1,CREBBP
PPP2CA,CREBBP
PPP2CA,STAT1
PPP2CA,STAT3
PPP2CA,STAT5A
PRKCA,STAT5A
PSEN1,APC
PSEN1,CDC42
PSEN1,PSEN2
PSEN1,RAC1
PSEN1,TRAF1
PSEN1,VIM
PSEN2,APC
PSMB5,PSMD12
PSMB5,PSMD4
PSMC1,PSMC2
PSMC1,PSMC3
PSMC1,PSMD1
PSMC1,PSMD12
PSMC1,PSMD13
PSMC1,PSMD3
PSMC1,PSMD4
PSMC1,PSMD7
PSMC1,TRAF6
PSMC2,PSMC3
PSMC2,PSMD1
PSMC2,PSMD12
PSMC2,PSMD13
PSMC2,PSMD3
PSMC2,PSMD4
PSMC2,PSMD7
PSMC2,RAF1
PSMC2,TRAF6
PSMC3,PSMD1
PSMC3,PSMD12
PSMC3,PSMD13
PSMC3,PSMD4
PSMC3,PSMD7
PSMD1,CLTC
PSMD1,PSMD12
PSMD1,PSMD13
PSMD1,PSMD3
PSMD1,PSMD4
PSMD1,PSMD7
PSMD3,COPS3
PSMD3,PSMD12
PSMD3,PSMD13
PSMD3,PSMD4
PSMD3,PSMD7
PSMD4,CREBBP
PSMD4,PSMD12
PSMD4,PSMD13
PSMD4,PSMD7
PSMD4,RELA
PSMD4,SUMO2
