# Protein-1,# Protein-2
CK2A2,FOS
CK2A2,HDAC1
CK2A2,MYC
CK2A2,PIN1
CK2A2,RELA
CK2B,CSNK1A1
CK2B,CSNK1D
CK2B,CSNK1E
CK2B,FAF1
CK2B,GSK3B
CK2B,MTIF2
CLTC,EPS15
CLTC,HDAC1
CLTC,HDAC2
CLTC,HGS
CLTC,KRT18
CLTC,NUP153
CLTC,PAPOLA
CLTC,SMAD3
CLTC,WASL
COPS3,COPS5
COPS3,PSMD4
COPS3,SMAD1
COPS5,SMAD3
CRK,CSK
CRK,ERBB2
CRK,FYN
CRK,GRB2
CRK,JAK1
CRK,LYN
CRK,MET
CRK,PTK2
CRK,SRC
CRK,STAT1
CRK,STAT3
CRKL,CDC42
CRKL,CSK
CRKL,CSNK1E
CRKL,EPOR
CRKL,FYN
CRKL,GIT1
CRKL,GRB10
CRKL,GRB2
CRKL,JAK1
CRKL,LYN
CRKL,MET
CRKL,NCK2
CRKL,PIK3R2
CRKL,PPP2CA
CRKL,PRKCA
CRKL,PTK2
CRKL,PTPN12
CRKL,RAC1
CRKL,SMAD3
CRKL,SOCS5
CRKL,SRC
CRKL,STAT1
CRKL,STAT2
CRKL,STAT3
CRKL,STAT5B
CRKL,TRAF2
CRKL,WASL
CRM1,APC
CRM1,CCNB1
CRM1,CRK
CRM1,CTNNB1
CRM1,HDAC1
CRM1,NFKB1
CRM1,NUP153
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSK,ABL1
CSK,CTBP1
CSK,DAB2
CSK,EPOR
CSK,FYN
CSK,GRB10
CSK,GRB2
CSK,HD
CSK,JAK1
CSK,KPNA2
CSK,LYN
CSK,MET
CSK,NCK2
CSK,PIK3CD
CSK,PIK3R2
CSK,PLD2
CSK,PRKAR1A
CSK,PRKCA
CSK,PTK2
CSK,SHC1
CSK,SMAD1
CSK,SMAD3
CSK,SRC
CSK,STAT1
CSK,STAT2
CSK,STAT3
CSK,STAT5B
CSNK1D,CSNK1A1
CSNK1D,DVL2
CSNK1D,DVL3
CSNK1D,IKBKAP
CSNK1E,APC
CSNK1E,EPS15
CSNK1E,FYN
CSNK1E,IKBKAP
CSNK1E,STAT5B
CTBP1,DAXX
CTBP1,ETS1
CTBP1,HD
CTBP1,HDAC1
CTBP1,NCOA3
CTBP1,PIK3CD
CTBP1,RELA
CTBP1,SPEN
CTBP1,STAT1
CTBP1,STAT2
CTBP2,HDAC1
CTBP2,HDAC2
CTCF,SP1
CTNNB1,APC
CTNNB1,FYN
CTNNB1,HDAC1
CTNNB1,HDAC2
CTNNB1,NOTCH2
CTNNB1,SMAD1
CTNNB1,SMAD3
CUL1,BTRC
CUL1,CDK2
CUL1,CDKN1A
CUL1,COPS5
CUL1,CTNNB1
CUL1,FBXW7
CUL1,FZR1
CUL1,NFKB1
CUL1,PSMD7
CUL1,RBX1
CUL1,SKP1
CUL1,SKP2
CUL1,SMAD3
DAB2,FYN
DAB2,LYN
DAB2,PIK3R2
DAB2,SMAD1
DAB2,SMAD3
DAB2,STAT1
DAB2,TGFB1
DAB2,WASL
DAP,FADD
DAP,PML
DAXX,FADD
DAXX,HDAC1
DAXX,KPNA2
DAXX,RIPK1
DAXX,SMAD3
DAXX,SP1
DAXX,STAT1
DDEF1,ARF4
DDEF1,CBL
DDEF1,CBLB
DDEF1,CRK
DDEF1,GRB2
DDEF1,PTK2
DDEF1,PXN
DDEF1,SRC
DDX3,CCNA2
DDX3,G3BP2
DDX3,GSK3B
DDX3,SP1
DVL1,APC
DVL1,ARRB2
DVL1,CSNK1E
DVL1,CTNNB1
DVL1,CTNND1
DVL1,DVL2
DVL1,DVL3
DVL1,FZD1
DVL1,FZD4
DVL1,FZD5
DVL1,FZD6
DVL1,FZD7
DVL1,GSK3B
DVL1,NOTCH2
DVL1,RAC1
DVL1,WNT5A
DVL2,CSNK1A1
DVL2,DVL3
DVL3,CSNK1A1
DVL3,SMAD3
DYRK1A,HGS
DYRK1A,SMAD1
DYRK1A,SMAD3
DYRK1A,TGFB1
E2F5,CCNA2
E2F5,E2F4
E2F5,SMARCA4
E2F5,STAT2
E2F5,TP53
E3B1,ABL1
E3B1,AKT1
E3B1,CDC42
E3B1,CRK
E3B1,EPS8
E3B1,LYN
E3B1,MYC
E3B1,RAC1
E3B1,SRC
E3B1,WASL
EBP1,ERBB2
EBP1,HDAC2
EBP1,KPNA3
EBP1,PAK1
EBP1,PRKCA
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EF1A,BAD
EF1A,UBE3A
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
ENG,CD44
ENG,SMAD1
ENG,SP1
ENG,TGFB1
ENG,TGFB3
ENG,TGFBR2
EPOR,ABL1
EPOR,FYN
EPOR,GRB2
EPOR,JAK1
EPOR,LYN
EPOR,PIK3R2
EPOR,SRC
EPOR,STAT1
EPOR,STAT3
EPOR,STAT5B
EPOR,WASL
EPS15,ERBB2
EPS15,GRB2
EPS15,HGS
EPS15,RPL8
ERBB2,ABL1
ERBB2,APC
ERBB2,FYN
ERBB2,GRB10
ERBB2,GRB2
ERBB2,HGS
ERBB2,KRT18
ERBB2,KRT8
ERBB2,LYN
ERBB2,MET
ERBB2,NCK2
ERBB2,PIK3R2
ERBB2,PLD2
ERBB2,PRKCA
ERBB2,PTK2
ERBB2,RIPK1
ERBB2,SHC1
ERBB2,SRC
ERBB2,STAT1
ERBB2,STAT3
ERBB2,STAT5B
ERBB2,WASL
ERK1,AKT1
ERK1,ARRB2
ERK1,BAD
ERK1,CBL
ERK1,CD44
ERK1,CDK2
ERK1,CDK4
ERK1,COPS3
ERK1,CRKL
ERK1,CSK
ERK1,CTNNB1
ERK1,DYRK1A
ERK1,EPOR
ERK1,ETS1
ERK1,FOS
ERK1,FYN
ERK1,GRB10
ERK1,HDAC1
ERK1,HGS
ERK1,HSPA8
ERK1,ID2
ERK1,JAK1
ERK1,JUNB
ERK1,KRT18
ERK1,LYN
ERK1,NCK2
ERK1,NCOA3
ERK1,NUP153
ERK1,PCAF
ERK1,PIK3R2
ERK1,PPP2CA
ERK1,PRKACA
ERK1,PRKCA
ERK1,PRKCI
ERK1,RAN
ERK1,RBL2
ERK1,RELA
ERK1,RIPK1
ERK1,SF1
ERK1,SHC1
ERK1,SMAD3
ERK1,SMARCA4
ERK1,SP1
ERK1,SRC
ERK1,STAT1
ERK1,STAT3
ERK1,STAT5B
ERK1,TP53
ERK1,VDR
ERK1,WASL
ERK2,AKT1
ERK2,CBL
ERK2,CBLB
ERK2,CDK2
ERK2,CRKL
ERK2,EPOR
ERK2,FYN
ERK2,GRB2
ERK2,HDAC1
ERK2,JAK1
ERK2,JUNB
ERK2,PRKCI
ERK2,PSMD4
ERK2,SMAD1
ERK2,SMAD3
ERK2,STAT1
ERK2,STAT2
ERK2,STAT3
ERK2,STAT5B
ERK2,TP53
ERM,CCND1
ERM,PKN1
ERM,PRKACA
ERM,PRKCA
ETS1,FOS
ETS1,HDAC1
ETS1,JUNB
ETS1,KPNA2
ETS1,RBL2
ETS1,SMAD1
ETS1,SMAD3
ETS1,STAT1
ETS1,STAT3
FADD,FYN
FADD,HSPA8
FADD,KRT18
FADD,NFKB2
FADD,RIPK1
FADD,STAT3
FADD,STAT5B
FAF1,HDAC1
FAF1,HDAC2
FANCD2,NCOA3
FANCD2,TP53
FBL,ITGB4BP
FBL,PRMT1
FBL,PSMD3
FBXW7,RBX1
FHL2,CCND1
FHL2,CTNNB1
FHL2,HIPK2
FHL2,NFKB1
FHL2,PTK2
FHL2,SMAD3
FHL2,TP53
FKBP12,CCNB1
FKBP12,FYN
FKBP51,EIF3S2
FKBP51,FZR1
FKBP51,SMAD3
FLNA,FYN
FLNA,NOTCH2
FOS,HDAC1
FOS,HDAC2
FOS,JUNB
FOS,NCOA3
FOS,PRKCA
FOS,RELA
FOS,RIPK1
FOS,SMAD1
FOS,SMAD3
FOS,SP1
FOS,STAT1
FOS,STAT3
FOS,STAT5B
FOS,VDR
FOXO1A,APC
FOXO1A,KPNA2
FOXO1A,PIAS1
FOXO1A,SMAD1
FOXO1A,SMAD3
FOXO1A,STAT1
FYN,APC
FYN,CDC42
FYN,GJA1
FYN,GRB10
FYN,GRB2
FYN,HD
FYN,HES1
FYN,HSPA8
FYN,JAK1
FYN,KRT18
FYN,LYN
FYN,MET
FYN,NCK2
FYN,PIK3R2
FYN,PKN1
FYN,PPP2CA
FYN,PRKCA
FYN,PTK2
FYN,PTPN12
FYN,RAC1
FYN,RELA
FYN,RPL8
FYN,SHC1
FYN,SOCS5
FYN,SRC
FYN,STAT1
FYN,STAT2
FYN,STAT3
FYN,STAT5B
FYN,TGFB1
FYN,TGFBR2
FYN,VIM
FYN,WASL
FZD1,WNT5A
FZD4,WNT5A
FZR1,CDC25C
FZR1,ID3
G3BP2,RELA
G3BP2,RPL8
GAPDH,APP
GAPDH,MYC
GAPDH,PLD2
GAS1,HIP1
GAS1,MYC
GAS1,RAB23
GIPC,AKT1
GIPC,CLTC
GIPC,DAB2
GIPC,ENG
GIPC,FZD1
GIPC,ITGA6
GIPC,PRKCA
GIPC,RAC1
GIT1,GRB2
GIT1,KPNB1
GIT1,MCM7
GIT1,NUP153
GJA1,LYN
GP130,ERBB2
GP130,FYN
GP130,JAK1
GP130,LYN
GP130,STAT1
GP130,STAT5B
GRB2,CDC42
GRB2,GRB10
GRB2,JAK1
GRB2,LYN
GRB2,MET
GRB2,NCK2
GRB2,PIK3R2
GRB2,PRKCA
GRB2,PRKCI
GRB2,PTK2
GRB2,PTPN12
GRB2,RAC1
GRB2,RANBP9
GRB2,RELA
GRB2,SHC1
GRB2,SRC
GRB2,STAT1
GRB2,STAT2
GRB2,STAT3
GRB2,STAT5B
GRB2,WASL
GRB10,ABL1
GRB10,JAK1
GRB10,LYN
GRB10,MET
GRB10,NCK2
GRB10,PIK3R2
GRB10,PTK2
GRB10,SRC
GRB10,STAT1
GRB10,STAT3
GRB10,STAT5B
GRIM19,STAT3
HAT1,RBBP7
HBO1,E2F4
HBO1,HDAC6
HBO1,SMARCA4
HD,HDAC1
HD,KPNA2
HD,SMAD3
HD,STAT1
HD,WASL
HDAC1,APC
HDAC1,HDAC2
HDAC1,HDAC6
HDAC1,KPNA2
HDAC1,NCOR1
HDAC1,PAPOLA
HDAC1,PML
HDAC1,RELA
HDAC1,SMAD3
HDAC1,SMARCE1
HDAC1,SP1
HDAC1,SPEN
HDAC1,STAT1
HDAC1,STAT2
HDAC1,STAT5B
HDAC1,TP53
HDAC1,YY1
HDAC2,MAPK14
HDAC2,MCM5
HDAC2,MCM7
HDAC2,RELA
HDAC2,SP1
HDAC2,STAT1
HDAC2,STAT2
HDAC2,STAT5B
HDAC2,TP53
HDAC6,ITGB4BP
HES1,ID1
HES1,ID2
