# Protein-1,# Protein-2
E3B1,WASL
EBP1,EGFR
EBP1,HDAC2
EBP1,KPNA3
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EBP1,SIN3A
EF1A,BAD
EF1A,UBE3A
EGFR,FYN
EGFR,GRB2
EGFR,JAK1
EGFR,JAK2
EGFR,PIK3R2
EGFR,PRKCI
EGFR,PTK2
EGFR,SHC1
EGFR,SOCS3
EGFR,STAT1
EGFR,STAT3
EGFR,WASL
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
EIF4E,FBL
EIF4E,G3BP2
EIF4E,GSK3B
ELK1,HES1
ELK1,JUNB
ELK1,JUND
ELK1,KPNA2
ELK1,SMAD2
ELK1,STAT1
ELK1,TCF3
ENG,CD44
ENG,SMAD2
ENG,SMAD4
ENG,SP1
ENG,TGFBR2
EPS8,SMAD2
ERK2,AKT1
ERK2,CBLB
ERK2,CDK2
ERK2,CREBBP
ERK2,CRKL
ERK2,FYN
ERK2,GRB2
ERK2,JAK1
ERK2,JAK2
ERK2,JUNB
ERK2,NRAS
ERK2,NUP214
ERK2,PRKCI
ERK2,SMAD2
ERK2,STAT1
ERK2,STAT3
ERK2,SVIL
ERK2,TP53
ERT,CREBBP
ERT,EGFR
ERT,JAK1
ERT,MYC
ERT,NFKB1
ETS1,FOS
ETS1,JAK2
ETS1,JUNB
ETS1,JUND
ETS1,KPNA2
ETS1,RBL2
ETS1,SMAD2
ETS1,STAT1
ETS1,STAT3
ETS1,TCF3
FANCD2,TP53
FBL,ITGB4BP
FBXW7,RBX1
FKBP12,CCNB1
FKBP12,FYN
FKBP12,PSEN1
FKBP12,SMAD2
FOS,CREBBP
FOS,FOSB
FOS,HDAC2
FOS,JAK2
FOS,JUNB
FOS,JUND
FOS,RELA
FOS,SMAD2
FOS,SMAD4
FOS,SP1
FOS,STAT1
FOS,STAT3
FOSB,JUNB
FOSB,JUND
FOXO1A,APC
FOXO1A,CREBBP
FOXO1A,KPNA2
