# Protein-1,# Protein-2
SOCS5,VAV1
STAT2,ABL1
STAT2,STAT3
STAT2,STAT5B
STAT2,TNK2
STAT2,VAV1
STAT3,CCND1
STAT5B,ABL1
STAT5B,STAT3
STAT5B,TGFB1
STAT5B,VAV1
STAT5B,VAV3
STAT5B,VDR
STUB1,TGFB1
SUMO1,SMARCA4
TBP,SMARCA4
TCF8,ZFHX1B
TGFB1,RAN
TGFB1,TGFBR1
TGFB1,TGFBR2
TGFBR1,NUP214
TGFBR1,RAN
TGFBR1,TGFBR2
TGFBR1,VAV1
TGFBR1,VDR
TGFBR2,VAV1
TIP1,CTNNB1
TNFR1,CASP3
TNFR1,NFKB1
TNFR1,RELA
TNFR2,CSNK1A1
TNFR2,NFKB1
TNIP1,NFKB1
TNK2,CLTC
TNK2,FYN
TNK2,GRB2
TNK2,SHOC2
TPL2,AKT1
TPL2,JUN
TPL2,NFKB1
TPL2,RELA
TRUSS,APH1B
TRUSS,CTNNB1
TRUSS,NCOR1
TRUSS,RBX1
TRUSS,UBE2D1
UBCH5C,RAN
USP9,CCND1
USP9,SUMO1
VAV1,ABL1
VAV1,RAN
VAV1,STAT3
VDR,STAT3
VIM,PRKAR1A
ZIN,STAT3
ZIN,UBE2L3
ZNF216,RELA
