# Protein-1,# Protein-2
CRKL,STAT3
CRKL,STAT5A
CRKL,STAT5B
CRKL,TGFBR1
CRM1,APC
CRM1,CCNB1
CRM1,CTNNB1
CRM1,HDAC1
CRM1,NFKB1
CRM1,NUP153
CRM1,NUP214
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSNK1D,CSNK1A1
CSNK1D,DCP1A
CSNK1D,DVL3
CSNK1E,APC
CSNK1E,DCP1A
CSNK1E,JUP
CSNK1E,STAT5A
CSNK1E,STAT5B
CTNNB1,APC
CTNNB1,HDAC1
CTNNB1,HDAC2
CTNNB1,JAK2
CTNNB1,JUP
CTNNB1,KIT
CTNNB1,NOTCH2
CTNNB1,SMAD1
CTNNB1,SMAD2
CTNNB1,SMAD3
CTNNB1,TGFBR1
CUL1,BTRC
CUL1,CDKN1A
CUL1,CTNNB1
CUL1,FBXW7
CUL1,NFKB1
CUL1,PSMD7
CUL1,SKP1
CUL1,SMAD3
DAAM1,APC
DAAM1,ARF4
DAB2,LYN
DAB2,SMAD1
DAB2,SMAD2
DAB2,SMAD3
DAB2,SOS1
DAB2,STAT1
DAB2,STAT5A
DAP,PML
DAP,TNIP1
DAXX,HDAC1
DAXX,KPNA2
DAXX,RIPK1
DAXX,SIN3A
DAXX,SMAD2
DAXX,SMAD3
DAXX,SP1
DAXX,STAT1
DCP1A,HSPA8
DDX3,G3BP2
DDX3,SP1
DNM,CAV1
DNM,EGFR
DNM,GRB2
DNM,JAG1
DNM,NOTCH1
DNM,PIAS1
DNM,PIK3R1
DNM,SP1
DSP,APC
DSP,FOS
DVL3,CSNK1A1
DVL3,JUP
DVL3,SMAD3
DYRK1A,JUP
DYRK1A,SMAD1
DYRK1A,SMAD2
DYRK1A,SMAD3
E3B1,ABL1
E3B1,AKT1
E3B1,CDC42
E3B1,EGFR
E3B1,EPS8
E3B1,LYN
E3B1,MYC
E3B1,RAC1
E3B1,SOS1
E3B1,SOS2
EBP1,EGFR
EBP1,HDAC2
EBP1,KPNA3
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EBP1,SIN3A
EF1A,UBE3A
EGFR,ABL1
EGFR,GRB2
EGFR,GRB7
EGFR,ITGB4
EGFR,JAK1
EGFR,JAK2
EGFR,JUP
EGFR,KIT
EGFR,LYN
EGFR,MET
EGFR,PRKCZ
EGFR,PTK2
EGFR,SHC1
EGFR,SOS1
EGFR,STAT1
EGFR,STAT3
EGFR,STAT5A
EGFR,STAT5B
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
EPS8,SMAD2
EPS15R,AP2B1
EPS15R,CBL
EPS15R,CLTC
EPS15R,EGFR
EPS15R,NUMB
EPS15R,SPRY2
ERK1,AKT1
ERK1,ATF1
ERK1,ATF3
ERK1,BRCA1
ERK1,CBL
ERK1,CD44
ERK1,CDC23
ERK1,CDC25A
ERK1,CDK4
ERK1,CRKL
ERK1,CTNNB1
ERK1,DYRK1A
ERK1,EGFR
ERK1,ETS1
ERK1,FOS
ERK1,HDAC1
ERK1,HSPA8
ERK1,ID2
ERK1,JAK1
ERK1,JAK2
ERK1,JUNB
ERK1,KIT
ERK1,KRT18
ERK1,LYN
ERK1,MEF2A
ERK1,NCOA3
ERK1,NFYA
ERK1,NRAS
ERK1,NUP153
ERK1,NUP214
ERK1,PCAF
ERK1,PKN2
ERK1,PLCG2
ERK1,PPP2CA
ERK1,PRKACA
ERK1,PRKCZ
ERK1,RAF1
ERK1,RAN
ERK1,RBL2
ERK1,RELA
ERK1,RIPK1
ERK1,SF1
ERK1,SHC1
ERK1,SMAD2
ERK1,SMAD3
ERK1,SMAD4
ERK1,SMARCA4
ERK1,SP1
ERK1,STAT1
ERK1,STAT3
ERK1,STAT5A
ERK1,STAT5B
ERK1,SVIL
ERK1,TGFBR1
ERK1,TP53
ERK1,VDR
ERK2,AKT1
ERK2,CBL
ERK2,CBLB
ERK2,CRKL
ERK2,GRB2
ERK2,HDAC1
ERK2,JAK1
ERK2,JAK2
ERK2,JUNB
ERK2,KIT
ERK2,NRAS
ERK2,NUP214
ERK2,PSMD4
ERK2,RAF1
ERK2,SMAD1
ERK2,SMAD2
ERK2,SMAD3
ERK2,SOS1
ERK2,STAT1
ERK2,STAT2
ERK2,STAT3
ERK2,STAT5A
ERK2,STAT5B
ERK2,SVIL
ERK2,TGFBR1
ERK2,TP53
ERT,EGFR
ERT,JAK1
ERT,MYC
ERT,NFKB1
ETS1,FOS
ETS1,HDAC1
ETS1,JAK2
ETS1,JUNB
ETS1,JUND
ETS1,KPNA2
ETS1,PAX5
ETS1,RAF1
ETS1,RBL2
ETS1,SMAD1
ETS1,SMAD2
ETS1,SMAD3
ETS1,STAT1
ETS1,STAT3
ETS1,STAT5A
ETS1,TGFBR1
FAF1,HDAC1
FAF1,HDAC2
FHL2,BRCA1
FHL2,CCND1
FHL2,CDH1
FHL2,CTNNB1
FHL2,HIPK2
FHL2,NFKB1
FHL2,PSEN2
FHL2,PTK2
FHL2,SMAD2
FHL2,SMAD3
FHL2,SMAD4
FHL2,TP53
FKBP12,CCNB1
FKBP12,RAF1
FKBP12,SMAD2
FKBP12,STAT5A
FKBP51,CDC25A
FKBP51,EIF3S2
FKBP51,SMAD3
FKBP51,TGFBR1
FLIP,APC
FLIP,CASP2
FLIP,CDK7
FLIP,DSP
FLIP,FAF1
FLIP,NFKB2
FLIP,NOTCH2
FLIP,NRAS
FLIP,PSMD12
FLIP,RIPK1
FLIP,SVIL
FLNA,NOTCH2
FOS,FOSB
FOS,HDAC1
FOS,HDAC2
FOS,JAK2
FOS,JUNB
FOS,JUND
FOS,NCOA3
FOS,NFYA
FOS,RAF1
FOS,RELA
FOS,RIPK1
FOS,SMAD1
FOS,SMAD2
FOS,SMAD3
FOS,SMAD4
FOS,SP1
FOS,STAT1
FOS,STAT3
FOS,STAT5A
FOS,STAT5B
FOS,VDR
FOSB,JUNB
FOSB,JUND
G3BP2,RELA
G3BP2,RPL8
GAB1,GRB2
GAB1,JAK2
GAB1,KIT
GAB1,KPNA2
GAB1,RAF1
GAB1,SMAD2
GAB1,SMAD3
GAB1,SOS1
GAB1,STAT1
GAB1,STAT5A
GAB1,STAT5B
GAPDH,APP
GAPDH,MYC
GAPDH,PLD2
GAS1,MYC
GAS1,STAT5A
GJA1,LYN
GJA1,RAF1
GJA1,STAT5A
GP130,EGFR
GP130,JAK1
GP130,JAK2
GP130,LYN
GP130,NRAS
GP130,STAT1
GP130,STAT5A
GP130,STAT5B
GRB2,CDC42
GRB2,GRB7
GRB2,JAK1
GRB2,JAK2
GRB2,JUP
GRB2,KIT
GRB2,LYN
GRB2,MET
GRB2,PTK2
GRB2,PTPN12
GRB2,RAC1
GRB2,RAF1
GRB2,RANBP9
GRB2,RELA
GRB2,SHC1
GRB2,SOS1
GRB2,SOS2
GRB2,STAT1
GRB2,STAT2
GRB2,STAT3
GRB2,STAT5A
GRB2,STAT5B
GRB7,JAK2
GRB7,SOS1
GRB7,SOS2
GRB7,STAT1
GRB7,STAT5A
GRB7,STAT5B
GRIM19,STAT3
GTFII-I,FOS
GTFII-I,HDAC1
GTFII-I,HDAC2
GTFII-I,JAK2
GTFII-I,MYC
GTFII-I,SMAD2
GTFII-I,SP1
GTFII-I,STAT1
GTFII-I,STAT3
HBO1,HDAC6
HBO1,SMARCA4
HDAC1,APC
HDAC1,HDAC2
HDAC1,HDAC6
HDAC1,KPNA2
HDAC1,NCOR1
HDAC1,NFYA
HDAC1,PAPOLA
HDAC1,PML
HDAC1,RELA
HDAC1,SIN3A
HDAC1,SMAD2
HDAC1,SMAD3
HDAC1,SMAD4
HDAC1,SP1
HDAC1,SPEN
HDAC1,STAT1
HDAC1,STAT2
HDAC1,STAT5A
HDAC1,STAT5B
HDAC1,TP53
HDAC2,MCM5
HDAC2,MCM7
HDAC2,RELA
HDAC2,SIN3A
HDAC2,SMAD2
HDAC2,SP1
HDAC2,STAT1
HDAC2,STAT2
HDAC2,STAT5A
HDAC2,STAT5B
HDAC2,TP53
HDAC6,ITGB4BP
HIPK2,SMAD2
HIPK2,SMAD3
HIPK2,SUMO2
HIPK2,TGFBR1
HSP90A,ANAPC5
HSP90A,ATF1
HSP90A,CBL
HSP90A,CDC23
HSP90A,CDC37
HSP90A,EGFR
HSP90A,HDAC1
HSP90A,HDAC2
HSP90A,HSPA8
HSP90A,NRAS
HSP90A,NUP153
HSP90A,PRKCZ
HSP90A,RELA
HSP90A,SMAD4
HSP90A,STAT1
HSP90A,STAT5A
HSP90A,STAT5B
HSP90A,SUMO1
HSP90A,SUMO2
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,KPNA6
HSP90B,NUP153
HSP90B,SUMO1
HSPA8,APC
HSPA8,CLTC
HSPA8,LYN
HSPA8,NUP153
HSPA8,RAF1
HSPA8,RAN
HSPA8,STAT1
HSPA8,STAT5A
HSPA8,STAT5B
ID2,MYC
ID2,NCOA3
IKBA,BRCA1
IKBA,FAF1
IKBA,FOS
IKBA,HDAC1
IKBA,HDAC2
IKBA,JAK2
IKBA,KIT
IKBA,KPNA2
IKBA,PCAF
IKBA,PPP2CA
IKBA,PRKACA
IKBA,PRKCZ
IKBA,REL
IKBA,RELA
IKBA,SP1
IKBA,STAT1
IKBA,STAT3
IKBA,STAT5A
IKBA,STAT5B
IKKB,KPNA2
IKKB,RELA
IKKB,SMAD2
IKKB,SMAD3
IKKB,STAT1
ITGB4,JAK2
ITGB4,KIT
ITGB4,SOS1
ITGB4BP,POLR1B
ITGB4BP,RPL4
ITGB4BP,RPL8
ITGB4BP,WDR12
JAG1,NOTCH2
JAG1,PSEN2
JAK1,ABL1
JAK1,JAK2
JAK1,KIT
JAK1,LYN
JAK1,MET
JAK1,NRAS
JAK1,PTK2
JAK1,PTPN12
JAK1,SHC1
JAK1,SOS1
JAK1,STAT1
JAK1,STAT2
JAK1,STAT3
JAK1,STAT5A
JAK1,STAT5B
JAK2,ABL1
JAK2,JUP
JAK2,KIT
JAK2,LYN
JAK2,NRAS
JAK2,NUP153
JAK2,PAPOLA
JAK2,PLCG2
JAK2,PLD2
JAK2,PPP2CA
JAK2,PRKACA
JAK2,PRKCZ
JAK2,PTK2
JAK2,PTPN12
JAK2,RAF1
JAK2,RELA
JAK2,SHC1
JAK2,SOS1
JAK2,STAT1
JAK2,STAT2
JAK2,STAT3
JAK2,STAT5A
JAK2,STAT5B
JAK2,STK11
JAK2,TGFBR1
JAK2,VDR
JUNB,JUND
JUNB,PRKACA
JUNB,RELA
JUNB,SMAD1
JUNB,SMAD2
JUNB,SMAD3
JUNB,STAT1
JUNB,TGFBR1
JUND,RAF1
JUND,SMAD1
JUND,SMAD2
JUND,STAT5A
JUND,TGFBR1
JUP,APC
JUP,CSNK1A1
JUP,KIT
JUP,PPP2CA
JUP,PRKACA
JUP,SMAD3
KIT,ABL1
KIT,FES
KIT,LYN
KIT,PLD2
KIT,PPP2CA
KIT,PRKCZ
KIT,PTK2
KIT,RAF1
KIT,SHC1
KIT,SOS1
KIT,SOS2
KIT,STAT1
KIT,STAT3
KIT,STAT5A
KIT,STAT5B
KIT,TGFBR1
KPNA2,APC
KPNA2,KPNA6
KPNA2,KPNB1
KPNA2,NCOA3
KPNA2,NUP153
KPNA2,PAX5
KPNA2,PCAF
KPNA2,PIK3CD
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD2
KPNA2,SMAD3
KPNA2,SMAD4
KPNA2,SPEN
KPNA2,STAT1
KPNA2,STAT2
KPNA2,TP53
KPNA2,VDR
KPNA3,KPNA6
KPNA3,RAN
KPNA6,AP2B1
KPNA6,KPNB1
KPNA6,PRKAR2A
KPNA6,RAN
KPNA6,SIN3A
KPNA6,STAT5A
KPNA6,STAT5B
KPNA6,TP53
KPNB1,ABL1
KPNB1,LAMR1
KPNB1,NUP153
KPNB1,PRKAR2A
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMAD2
KPNB1,SMARCC2
KPNB1,STAT1
KPNB1,STAT5A
KRT7,KRT17
KRT7,KRT18
KRT7,KTN1
KRT8,KRT18
KRT8,RAF1
KRT17,KRT18
KRT18,NRAS
KRT18,RAF1
KRT18,RIPK1
LAMR1,NCOA3
LAMR1,PSMC2
LAMR1,RAN
LAMR1,RPL4
LAMR1,RPL8
LAMR1,SMAD3
LAMR1,TP53
LYN,ABL1
LYN,MET
LYN,PIK3CD
LYN,PLD2
LYN,PTK2
LYN,PTPN12
LYN,RAF1
LYN,SHC1
LYN,SMAD2
LYN,STAT1
LYN,STAT2
LYN,STAT3
LYN,STAT5A
LYN,STAT5B
LYN,TGFBR2
MAGI3,DAAM1
MAGI3,FZD6
MAGI3,FZD7
MAIL,NFKB1
MAIL,NFKB2
MAIL,REL
MAIL,RELA
MAP1B,PLD2
MAP3K4,CDC42
MAP3K4,FLNA
MAP3K4,PRKCD
MAP3K4,RAC1
MAP3K4,TRAF4
MCC,APC
MCC,TP53
MCM5,MCM7
MCM5,PAX5
MCM5,SMAD2
MCM5,STAT1
MCM5,TFDP1
MCM7,PAX5
MCM7,TFDP1
MDM2,AKT1
MDM2,ARRB1
MDM2,CDKN1A
MDM2,EGFR
MDM2,HDAC1
MDM2,KIT
MDM2,NUMB
MDM2,PIAS1
MDM2,PML
MDM2,SUMO1
MDM2,TP53
MEF2A,SMAD3
MEK1,AKT1
MEK1,CDC42
MEK1,PRKCZ
MEK1,RAF1
MEK1,SMAD2
MEK1,SMAD3
MEK1,WNT5A
MEK5,FOS
MEK5,MEF2A
MEK5,PRKCZ
MEK5,STAT3
MEKK1,ATF2
MEKK1,CDC42
MEKK1,CRKL
MEKK1,GRB2
MEKK1,JUNB
MEKK1,NFKB1
MEKK1,RAC1
MEKK1,RELA
MEKK1,RHOA
MEKK1,RIPK1
MEKK1,SMAD2
MEKK1,TRAF3
MET,ABL1
MET,APC
MET,PLCG2
MET,RAN
MET,SHC1
MET,SOS1
MET,SOS2
MET,STAT1
MET,STAT3
MET,STAT5A
MET,STAT5B
MKP1,FOS
MKP1,FOSB
MKP1,JUNB
MKP1,NFKB1
MKP1,PRKCZ
MKP1,RAC1
MKP1,TP53
MYC,NCOA3
NCK,SNRPD2
NFKB2,AKT1
NFKB2,APP
NFKB2,BCL3
NFKB2,BTRC
NFKB2,CCND1
NFKB2,CYLD
NFKB2,JAK2
NFKB2,NFKB1
NFKB2,REL
NFKB2,RELA
NFKB2,SP1
NFKB2,TRAF3
NFYC,NFYA
NGAP,AKT1
NGAP,CDK7
NGAP,DAB2
NGAP,NFKB2
NIK,AKT1
NIK,CASP2
NIK,HSPA8
NIK,NFKB1
NIK,NFKB2
NIK,RELA
NIK,RIPK1
NIK,SP1
NIK,TP53
NIK,TRAF3
NKIRAS1,AKT1
NKIRAS1,BCL3
NKIRAS1,NFKB1
NKIRAS1,NFKB2
NKIRAS1,REL
NKIRAS1,RELA
NKIRAS2,AKT1
NKIRAS2,BCL3
NKIRAS2,BTRC
NKIRAS2,CDK6
NKIRAS2,CTNNB1
NKIRAS2,NFKB1
NKIRAS2,NFKB2
NKIRAS2,PSMD3
NKIRAS2,REL
NKIRAS2,RELA
NOTCH1,JAG1
NOTCH2,NOTCH3
NOTCH2,PSEN2
NOTCH2,SMAD3
NR3C1,BAG1
NR3C1,CALR
NR3C1,FOS
NR3C1,HDAC2
NR3C1,HDAC6
NR3C1,NCOA3
NR3C1,NCOR1
NR3C1,NFKB1
NR3C1,RELA
NR3C1,SMAD4
NR3C1,SMARCA4
NR3C1,SP1
NR3C1,STAT3
NR3C1,STAT5A
NR3C1,STAT5B
NR3C1,TP53
NRAS,NRAS
NRAS,PKN2
NRAS,PRKACA
NRAS,PRKCZ
NRAS,RAF1
NRAS,RALGDS
NRAS,RBL2
NRAS,SOS1
NSMAF,MAP3K4
NUP153,RANBP9
NUP214,G3BP2
NUP214,SOS1
OTF1,BRCA1
OTF1,NFYA
OTF1,SP1
P70S6K,ACVRL1
P70S6K,CUL1
P70S6K,MET
P70S6K,NOTCH3
P70S6K,SKP1
P70S6K,SMAD4
P204,LYN
PAPOLA,CUL1
PAPOLA,KPNB1
PARD3,PRKCZ
PARD3,RAF1
PAX5,NCOA3
PAX5,PCAF
PAX5,PIAS1
PAX5,PIK3CD
PAX5,RELA
PAX5,SMAD2
PAX5,SMAD3
PAX5,SMAD4
PAX5,STAT1
PAX5,STAT2
PAX5,TP53
PCAF,SMAD1
PCAF,SMAD2
PCAF,SMAD3
PCAF,SMARCA4
PCAF,STAT1
PCAF,STK11
PIAS1,NCOA3
PIAS1,PIK3CD
PIAS1,SMAD2
PIAS1,SMAD3
PIAS1,SPEN
PIAS1,STAT1
PIAS1,STAT5A
PIAS1,STAT5B
PIAS1,SUMO2
PIAS4,SMAD3
PIAS4,SMARCC2
PIAS4,STAT5A
PIAS4,STAT5B
PIAS4,SUMO1
PIK3CA,AKT1
PIK3CA,AKT2
PIK3CA,CBL
PIK3CA,CCND1
PIK3CA,CTNNB1
PIK3CA,EGFR
PIK3CA,JAK1
PIK3CA,JAK2
PIK3CA,LYN
PIK3CA,NRAS
PIK3CA,PIK3R1
PIK3CA,PIK3R3
PIK3CA,PRKCD
PIK3CA,RAC1
PIK3CA,RELA
PIK3CA,SHC1
PIK3CA,STAT3
PIK3CA,TP53
PIK3CD,PSEN2
PIK3CD,SMAD2
PIK3CD,SMAD3
PIK3CD,STAT1
PKN2,PLD2
PLCG2,ABL1
PLD1,PLD2
PLD2,RAC1
PLD2,SMAD3
PPP2CA,STAT1
PPP2CA,STAT3
PPP2CA,STAT5A
PPP2CA,STAT5B
PRKACA,CTNNB1
PRKACA,PRKAR1A
PRKACA,PRKAR2A
PRKACA,RELA
PRKAR2A,SMAD1
PRKAR2A,SMAD2
PRKCL,AKT1
PRKCL,AKT2
PRKCL,CCND1
PRKCL,CD44
PRKCL,CDC23
PRKCL,CDC42
PRKCL,EGFR
PRKCL,GRB2
PRKCL,HSPA8
PRKCL,JAK2
PRKCL,NRAS
PRKCL,PARD3
PRKCL,PRKCZ
PRKCL,RAC1
PRKCL,RAF1
PRKCL,RELA
PRKCL,RGS16
PRKCL,SF1
PRKCL,SMAD3
PRKCL,TGFBR1
PRKCZ,NUP153
PRKCZ,RAC1
PRKCZ,RAF1
PRKCZ,RGS16
PRKCZ,SMAD2
PRKCZ,SMAD3
PRKCZ,STAT5A
PRKCZ,TGFBR1
PSEN2,APC
PSMB5,PSMD12
PSMB5,PSMD4
PSMC2,PSMC3
PSMC2,PSMD1
PSMC2,PSMD12
PSMC2,PSMD3
PSMC2,PSMD4
PSMC2,PSMD7
PSMC2,RAF1
