# Protein-1,# Protein-2
CD44,TGFB1
CDC2,CDC25C
CDC2,CDK2
CDC2,GRAP
CDC2,HDAC1
CDC2,HDAC2
CDC2,KIT
CDC2,STAT1
CDC2,STAT5A
CDC16,ANAPC10
CDC16,AR
CDC16,BRCA1
CDC16,CCNA2
CDC16,CCNB2
CDC16,CDC2
CDC16,CDC23
CDC16,CDC25A
CDC16,CDK2
CDC16,CDK7
CDC16,CTNNB1
CDC16,FZR1
CDC16,ITGB4BP
CDC16,LYN
CDC16,MCM5
CDC16,PSMC2
CDC16,TCF3
CDC23,CDC25A
CDC23,CDC25C
CDC23,CDC27
CDC23,CDK2
CDC23,FOXO1A
CDC23,FOXO3A
CDC23,FZR1
CDC23,KRT18
CDC23,MST1R
CDC23,PARD3
CDC23,PIK3R2
CDC23,PRKCA
CDC23,PRKCI
CDC23,PSMC2
CDC23,RAF1
CDC23,SNCA
CDC23,VIM
CDC25A,CDC25C
CDC25A,CDK2
CDC25A,CDK7
CDC25A,CDKN1A
CDC25A,CSK
CDC25A,ERBB2
CDC25A,ETS1
CDC25A,FZR1
CDC25A,ID3
CDC25A,KRT18
CDC25A,MST1R
CDC25A,NFYA
CDC25A,NRAS
CDC25A,PARD3
CDC25A,PIK3R2
CDC25A,PRKACA
CDC25A,PRKCZ
CDC25A,RAF1
CDC25A,RBL1
CDC25A,RBL2
CDC25A,SALL1
CDC25A,SMAD1
CDC25A,SMAD2
CDC25A,SNCA
CDC25A,TGFBR1
CDC25B,FGR
CDC25B,LYN
CDC25C,CAMK2D
CDC25C,CCNA2
CDC25C,CDC25B
CDC25C,CDK2
CDC25C,CDKN1A
CDC25C,FLNA
CDC25C,MAPK14
CDC25C,PIN1
CDC25C,PKN1
CDC25C,TP53
CDC27,FZR1
CDC34,CUL1
CDC34,RAN
CDC34,RBX1
CDC34,RELA
CDC37,FZR1
CDC37,HDAC1
CDC37,HDAC2
CDC42,AKT1
CDC42,PAK1
CDC42,PIK3R1
CDC42,PLD1
CDC42,PRKCI
CDC42,PRKCZ
CDC42,TNK2
CDC42,WASL
CDK2,CDK4
CDK2,CDK7
CDK2,CDKN1A
CDK2,CTNNB1
CDK2,FGR
CDK2,FOXO3A
CDK2,FZR1
CDK2,GIT1
CDK2,HDAC2
CDK2,ID2
CDK2,MCM5
CDK2,MCM7
CDK2,PRKCA
CDK2,PSMC2
CDK2,RBL1
CDK2,SMAD1
CDK2,SMAD2
CDK2,STAT1
CDK2,STAT5A
CDK2,TCF3
CDK2,TGFBR1
CDK4,AR
CDK4,CDK6
CDK4,CDKN1A
CDK4,CTCF
CDK4,ESR1
CDK4,MCM5
CDK4,MCM7
CDK4,PKN2
CDK4,PRKACA
CDK4,RBL1
CDK4,SIN3A
CDK4,SMAD1
CDK4,SMAD2
CDK4,SMAD3
CDK4,SP1
CDK4,TGFB1
CDK4,TGFBR1
CDK6,SMAD1
CDK6,SMAD2
CDK6,SMAD3
CDK6,TGFB1
CDK7,APC
CDK7,AR
CDK7,ESR1
CDK7,FRAP1
CDK7,FZR1
CDK7,ID2
CDK7,ID3
CDK7,MAPK14
CDK7,RBL1
CDK7,TP53
CDKN1A,FZR1
CDKN1A,HDAC1
CDKN1A,HDAC2
CEACAM1,CRKL
CEACAM1,ERBB2
CEACAM1,STAT5A
CHK,AXIN1
CHK,CCNA2
CHK,CCND1
CHK,CDK2
CHK,CDK4
CHK,CDKN1A
CHK,CSNK1A1
CHK,CSNK1D
CHK,CSNK1E
CHK,PRKAR2A
CIAP1,AKT1
CIAP1,CASP3
CIAP1,CASP7
CIAP1,CASP8
CIAP1,CASP9
CIAP1,CYLD
