# Protein-1,# Protein-2
CRKL,STAT5A
CRKL,STAT5B
CRKL,TGFBR1
CRKL,TRAF2
CRKL,WASL
CRM1,APC
CRM1,CCNB1
CRM1,CRK
CRM1,CTNNB1
CRM1,HDAC1
CRM1,NFKB1
CRM1,NUP214
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSK,ABL1
CSK,CREBBP
CSK,CTBP1
CSK,DOK1
CSK,GRB10
CSK,GRB2
CSK,ITGB4
CSK,KPNA2
CSK,PIK3CD
CSK,PLCG1
CSK,PLD2
CSK,PRKAR1A
CSK,PRKCA
CSK,PTK2
CSK,PTK6
CSK,RAF1
CSK,SHC1
CSK,SMAD1
CSK,SMAD2
CSK,STAT1
CSK,STAT2
CSK,STAT3
CSK,STAT5A
CSK,STAT5B
CSK,TGFBR1
CSNK1D,DVL3
CTBP1,DAXX
CTBP1,ETS1
CTBP1,HDAC1
CTBP1,MYB
CTBP1,PIK3CD
CTBP1,RELA
CTBP1,SMAD2
CTBP1,SPEN
CTBP1,STAT1
CTBP1,STAT2
CTCF,SP1
CTNNB1,APC
CTNNB1,HDAC1
CTNNB1,HDAC2
CTNNB1,JUP
CTNNB1,NOTCH2
CTNNB1,SMAD1
CTNNB1,SMAD2
CTNNB1,TGFBR1
CUL1,AXIN1
CUL1,CDKN1A
CUL1,CTNNB1
CUL1,NFKB1
CUL1,PSMD7
CUL1,SKP1
DAAM1,APC
DAAM1,ARF4
DAP,FADD
DAP,TNIP1
DAXX,FADD
DAXX,HDAC1
DAXX,KPNA2
DAXX,RIPK1
DAXX,SMAD2
DAXX,SP1
DAXX,STAT1
DDEF1,ARF4
DDEF1,CBLB
DDEF1,CRK
DDEF1,GRB2
DDEF1,PTK2
DDEF1,PXN
DDEF1,REPS2
DDX3,SP1
DNM,ARRB2
DNM,CAV1
DNM,DLL4
DNM,GRB2
DNM,PLCG1
DNM,SP1
DOK1,GRB10
DOK1,STAT5A
DOK1,STAT5B
DOK1,TGFBR1
DOK1,TRAF2
DOK1,WASL
DSP,APC
DSP,FOS
DVL1,APC
DVL1,ARRB2
DVL1,AXIN1
DVL1,CTNNB1
DVL1,CTNND1
DVL1,DAAM1
DVL1,DVL3
DVL1,FZD5
DVL1,FZD7
DVL1,NKD1
DVL1,NOTCH2
DVL1,RAC1
DVL1,VANGL2
DVL3,JUP
E3B1,ABL1
E3B1,AKT1
E3B1,CDC42
E3B1,CRK
E3B1,EPS8
E3B1,MYC
E3B1,RAC1
E3B1,WASL
EBP1,ERBB2
EBP1,HDAC2
EBP1,PRKCA
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EIF3S2,PPP2CA
EIF3S2,PSMD1
EIF3S2,SMARCA4
ENG,CD44
ENG,SMAD1
ENG,SMAD2
ENG,SMAD4
ENG,SP1
ENG,TGFB3
ENG,TGFBR1
ENG,TGFBR2
EPS8,SMAD2
ERBB2,ABL1
ERBB2,APC
ERBB2,GAB1
ERBB2,GRB10
ERBB2,GRB2
ERBB2,HGS
ERBB2,KRT18
ERBB2,KRT8
ERBB2,PLCG1
ERBB2,PLD1
ERBB2,PLD2
ERBB2,PLSCR1
ERBB2,PRKCA
ERBB2,PTK2
ERBB2,PTK6
ERBB2,RIPK1
ERBB2,SHC1
ERBB2,SOCS1
ERBB2,STAT1
ERBB2,STAT3
ERBB2,STAT5A
ERBB2,STAT5B
ERBB2,WASL
ERK1,AKT1
ERK1,ARRB2
ERK1,ATF3
ERK1,AXIN1
ERK1,BRCA1
ERK1,BTK
ERK1,CD44
ERK1,CDC23
ERK1,COPS3
ERK1,CREBBP
ERK1,CRKL
ERK1,CSK
ERK1,CTNNB1
ERK1,ETS1
ERK1,FOS
ERK1,GRB10
ERK1,HDAC1
ERK1,HGS
ERK1,HSPA8
ERK1,ID2
ERK1,JUNB
ERK1,KRT18
ERK1,NRAS
ERK1,NUP214
ERK1,PPP2CA
ERK1,PRKCA
ERK1,RAF1
ERK1,RAN
ERK1,RELA
ERK1,RIPK1
ERK1,SF1
ERK1,SHC1
ERK1,SMAD2
ERK1,SMAD4
ERK1,SMARCA4
ERK1,SP1
ERK1,STAT1
ERK1,STAT3
ERK1,STAT5A
ERK1,STAT5B
ERK1,SVIL
ERK1,TGFBR1
ERK1,TP53
ERK1,VDR
ERK1,WASL
ERK2,AKT1
ERK2,CBLB
ERK2,CREBBP
ERK2,CRKL
ERK2,GRB2
ERK2,HDAC1
ERK2,JUNB
ERK2,NRAS
ERK2,NUP214
ERK2,PSMD4
ERK2,RAF1
ERK2,SMAD1
ERK2,SMAD2
ERK2,STAT1
ERK2,STAT2
ERK2,STAT3
ERK2,STAT5A
ERK2,STAT5B
ERK2,SVIL
ERK2,TGFBR1
ERK2,TP53
ERT,CREBBP
ERT,ERBB2
ERT,MYC
ERT,NFKB1
ETS1,FOS
ETS1,HDAC1
ETS1,JUNB
ETS1,KPNA2
ETS1,RAF1
ETS1,SMAD1
ETS1,SMAD2
ETS1,STAT1
ETS1,STAT3
ETS1,STAT5A
ETS1,TGFBR1
FADD,CREBBP
FADD,HSPA8
FADD,KRT18
FADD,RIPK1
FADD,STAT3
FADD,STAT5A
FADD,STAT5B
FADD,TGFBR1
FADD,TRADD
FAF1,HDAC1
FAF1,HDAC2
FAF1,TRADD
FBL,ITGB4BP
FBL,POLR1A
FBL,PSMD3
FHL2,BRCA1
FHL2,CCND1
FHL2,CDH1
FHL2,CREBBP
FHL2,CTNNB1
FHL2,NFKB1
FHL2,PTK2
FHL2,SMAD2
FHL2,SMAD4
FHL2,TP53
FHL2,TRAF6
FKBP12,CCNB1
FKBP12,RAF1
FKBP12,SMAD2
FKBP12,STAT5A
FKBP51,EIF3S2
FKBP51,TGFBR1
FLIP,APC
FLIP,CASP2
FLIP,CDK7
FLIP,DSP
FLIP,FADD
FLIP,FAF1
FLIP,NOTCH2
FLIP,NRAS
FLIP,RIPK1
FLIP,SVIL
FLIP,TRADD
FLIP,TRAF2
FLNA,NOTCH2
FOS,CREBBP
FOS,FOSB
FOS,HDAC1
FOS,HDAC2
FOS,JUNB
FOS,MAP2K6
FOS,MYB
FOS,PRKCA
FOS,RAF1
FOS,RELA
FOS,RIPK1
FOS,SMAD1
FOS,SMAD2
FOS,SMAD4
FOS,SP1
